# Words that have two valid spellings in one locale(refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# anarchist;anarchistic (adj). 'Anarchist' is both a noun and an adjective.
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# plug-in;plugin hyphenated form is also an adjective: www.lexico.com/en/definition/plug-in
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
absolutise;absolutize
academise;academize
accessorise;accessorize
acclimatisable;acclimatizable
acclimatisation;acclimatization
acclimatise;acclimatize
acclimatiser;acclimatizer
achromatisation;achromatization
achromatise;achromatize
acidisation;acidization
acidise;acidize
acknowledgement;acknowledgment
actionise;actionize
actualisation;actualization
actualise;actualize
adapter;adaptor
adonise;adonize
adrenalectomise;adrenalectomize
adrenalise;adrenalize
adulterise;adulterize
adviser;advisor
aeon;eon
aerobicise;aerobicize
aerosolise;aerosolize
aerosolised;aerosolized
aestheticise;aestheticize
aetiology;etiology
Africanisation;Africanization
Africanise;Africanize
after-shave;aftershave
agatise;agatize
agenise;agenize
aggrandise;aggrandize
agnise;agnize
agonise;agonize
agonising;agonizing
agonisingly;agonizingly
albitise;albitize
albuminise;albuminize
alchemise;alchemize
alcoholise;alcoholize
aldolisation;aldolization
alienise;alienize
alkalinisation;alkalinization
alkalinise;alkalinize
alkalisable;alkalizable
alkalisation;alkalization
alkalise;alkalize
alkaliser;alkalizer
allatectomise;allatectomize
allegorisation;allegorization
allegorise;allegorize
alphabetic;alphabetical
alphabetisation;alphabetization
alphabetise;alphabetize
alphabetiser;alphabetizer
alphameric;alphamerical
alphameric;alphanumeric
alphamerical;alphanumeric
alphamerically;alphanumerically
alphanumeric;alphanumerical
aluminise;albuminize
aluminise;aluminize
ameba;amoeba
Americanisation;Americanization
Americanise;Americanize
Americaniser;Americanizer
amok;amuck
among;amongst
amortisable;amortizable
amortisation;amortization
amortise;amortize
anaesthetisation;anaesthetization
anaesthetise;anaesthetize
anagrammatise;anagrammatize
analogise;analogize
analyse;analyze
analyser;analyzer
anathematisation;anathematization
anathematise;anathematize
anatomisation;anatomization
anatomise;anatomize
anatomiser;anatomizer
androgenisation;androgenization
androgenise;androgenize
anglicisation;anglicization
anglicise;anglicize
angstrom;ångström
animalisation;animalization
animalise;animalize
annualise;annualize
annuitise;annuitize
anodisation;anodization
anodise;anodize
anonymise;anonymize
antagonisable;antagonizable
antagonisation;antagonization
antagonise;antagonize
anthologise;anthologize
anthropologise;anthropologize
anthropomorphise;anthropomorphize
anticise;anticize
aphetise;aphetize
aphorise;aphorize
apologise;apologize
apostatise;apostatize
apostolise;apostolize
apostrophise;apostrophize
apotheosise;apotheosize
appetise;appetize
appetiser;appetizer
appetising;appetizing
arabicisation;arabicization
arabicise;arabicize
arabisation;arabization
Arabise;Arabize
arborisation;arborization
arborise;arborize
archaeology;archeology
archaise;archaize
aromatisation;aromatization
aromatise;aromatize
arterialisation;arterialization
arterialise;arterialize
artificialise;artificialize
Aryanise;Aryanize
asepticise;asepticize
