# if first lemma is present any subsequent will be removed from analyzed tokens
А-БА-БА-ГА-ЛА-МА-ГА А-Ба-Ба-Га-Ла-Ма-Га
Ангола ангол
#бздур бздура
Бакай бакай
бал баль
блакить блакит
весь ввесь
видимо видіти
виїмка виїмок
височина височиня
вишня вишній
вишестоящий вишестоящій
вияв виява
відрізаний відрізан
відскок відскік
#візит візита
Вікторія вікторія
вказівка вказівець
Вкраїна вкраїна
Волошин волошин
втекти втікти
вугіль вуголь
Гайдай гайдай
галузь галуза
гонка гонок
Германія германій
грива гривий
Гуллівер гуллівер
далечина далечиня
дах даха
довжина довжиня
#докір докора
загибель загибіль
задушити задусити
задушитися задуситися
Держдума держдума
Держстат держстат
душити дусити
душитися дуситися
Євромайдан євромайдан
залити залляти
засяяти засяти
Зеленський зеленський
зіпсувати зіпсути
зіпсуватися зіпсутися
Казань казань
князьок князький
Карпа карп
Каррі каррі
Київ кий Кий
колія колій
Колодій колодій
Королевська королевський
Кравчук кравчук
Краків крак
Кріс кріс
Кучма кучма
Ліберія ліберія
Мазепа мазепа
Манчестер манчестер
мати маяти
милостиня милостина
мир миро
Михайлик михайлик
миша миш
молебень молебен
Молдова молд
Навальний навальний
Нацбанк нацбанк
Нейманів нейманів
незабутній незабутний
Опитне опитний
Опішне опішний
отець отцей
Ощадбанк ощадбанк
перекіс перекос
пересильний пересильна
первень первінь
перл перло
Південно-Африканська південно-африканський
підписка підписок
підхід підход
Пілат пілат
подорож подоріж
похід похода
Преторія преторій
#присмак присмака
# complex rule
#притока притік
продаж продажа
проклін прокльон
п'ятдесят п'ятдесять
розкласти розікласти
ротмістр ротмістер
Руні руно руна
серед Середи середа
сімдесят сімдесять
Скрипник скрипник
стати станути
стерти зітерти
стертися зітертися
стіс стос
стріла стріл
темний темна
улітку Улітко
утекти утікти
човен човно
Шевченків шевченковий
шинок шинк
Фінн фінн
Франція францій
Хаммер хаммер
циліндр циліндер
цілити ціляти
якір якор
